Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/us/fed-agencies-released-noncitizens-without-id-us-allowed-them-board-domestic-flights-dhs-oig-report.amp,170.5068359375,273,text/html
https://www.foxnews.com/politics/fox-exclusive-migrants-freed-under-ice-program-exploded-over-7-4-million,238.2314453125,335,text/html
https://www.foxnews.com/politics/political-stunt-critics-dismiss-harris-expected-arizona-border-visit-immigration-remains-top-issue,262.21875,340,text/html
https://www.foxnews.com/politics/tens-thousands-illegal-immigrants-sexual-assault-homicide-convictions-roaming-us-streets,253.6708984375,339,text/html
https://www.foxnews.com/us/fed-agencies-released-noncitizens-without-id-us-allowed-them-board-domestic-flights-dhs-oig-report.print,139.654296875,76,text/html
https://www.foxnews.com/category/health/nutrition-and-fitness,119.4814453125,351,text/html
https://www.foxnews.com/person/w/greg-wehner,143.693359375,380,text/html
https://www.foxnews.com/health/diet-crisis-america-celebrity-fitness-trainer-mom-nutrition-plan,269.4169921875,350,text/html
https://www.foxnews.com/person/m/bill-melugin,133.73828125,352,text/html
https://www.foxnews.com/lifestyle/meet-american-who-inspired-american-legion-baseball-john-griffith-wwi-vet-sports-pioneer,308.1416015625,352,text/html
https://www.foxnews.com//www.foxnews.com,8.564453125,35,text/html
https://www.foxnews.com/video/6344179431112,71.998046875,71,text/html
https://www.foxnews.com/media/harvard-president-claudine-gay-faces-six-new-plagiarism-charges-report,227.41796875,337,text/html
https://www.foxnews.com/media/harvard-antisemitism-task-force-co-chair-resigns-another-group-setback,240.1962890625,337,text/html
https://www.foxnews.com/politics/harvard-president-claudine-gay-remain-post,263.998046875,341,text/html
https://www.foxnews.com/media/nbc-news-chuck-todd-reveals-senior-cabinet-secretary-told-him-2022-biden-cant-run-again-like-this,236.8447265625,329,text/html
https://www.foxnews.com/media/super-mayor-tiffany-henyard-faces-another-lawsuit-amid-ongoing-federal-investigations,225.677734375,328,text/html
https://www.foxnews.com/politics/biden-dodges-answering-whether-hed-take-neurological-test-no-one-said-i-had-to,236.5546875,338,text/html
https://www.foxnews.com/media/nbcs-chuck-todd-says-bidens-entire-narrative-erode-he-stays-race-ambition-comes-first.amp,160.37890625,271,text/html
https://www.foxnews.com/video/6361838575112,67.6201171875,67,text/html
https://www.foxnews.com/media/former-gop-staffers-offer-dems-friendly-advice-how-handle-hostile-media-you-may-not-used-this.amp,163.458984375,271,text/html
https://www.foxnews.com/politics/nc-gubernatorial-candidate-mark-robinson-hires-trump-friendly-lawyer-investigate-porn-website-allegations,249.15234375,337,text/html
https://www.foxnews.com/video/6354776852112,73.0830078125,72,text/html
https://www.foxnews.com/video/6354836051112,71.6552734375,72,text/html
https://www.foxnews.com/media/kellyanne-conway-daughter-claudia-find-common-ground-despite-politics-were-humans-end-day.amp,160.189453125,268,text/html
https://www.foxnews.com/us/former-chicago-mayor-lori-lightfoot-hired-investigate-controversial-mayor-dolton-400-hour,217.8671875,329,text/html
https://www.foxnews.com/video/6354570721112,75.3486328125,74,text/html
https://www.foxnews.com/us/ta-nehisi-coates-who-called-9-11-responders-menaces-of-nature-to-speak-at-west-point.print,105.69140625,67,text/html
https://www.foxnews.com/category/us/education/controversies,119.4990234375,351,text/html
https://www.foxnews.com/media/gen-z-voters-home-november-key-issue-people-dont-like-this.amp,164.7802734375,273,text/html
https://www.foxnews.com/opinion/our-childrens-clothes-matter-science-religion-teach-us,310.318359375,353,text/html
https://www.foxnews.com/video/6361114802112,68.013671875,69,text/html
https://www.foxnews.com/video/topics/fox-nation/patriot-awards,291.3056640625,114,text/html
https://www.foxnews.com/media/bill-maher-sounds-alarm-immigration-chaos-itll-get-dems-f-ed-election-day,236.482421875,334,text/html
https://www.foxnews.com/politics/nyc-migrant-squatters-drugs-guns-previously-caught-southern-border-released-ice,251.23046875,341,text/html
https://www.foxnews.com/politics/tens-thousands-illegal-immigrants-sexual-assault-homicide-convictions-roaming-us-streets.amp,172.9755859375,274,text/html
https://www.foxnews.com/person/p/kristine-parks,143.361328125,382,text/html
https://www.foxnews.com/lifestyle/meet-american-who-inspired-american-legion-baseball-john-griffith-wwi-vet-sports-pioneer.amp,216.4365234375,284,text/html
https://www.foxnews.com/video/6362443709112,74.3837890625,74,text/html
https://www.foxnews.com/media/harvard-president-claudine-gay-faces-six-new-plagiarism-charges-report.amp,154.9189453125,273,text/html
https://www.foxnews.com/media/harvard-board-stands-embattled-president-claudine-gay-admits-inadequate-citation-writings,250.0234375,333,text/html
https://www.foxnews.com/media/harvard-antisemitism-task-force-co-chair-resigns-another-group-setback.amp,161.3466796875,273,text/html
https://www.foxnews.com/category/us/military/honors/pearl-harbor,119.9677734375,351,text/html
https://www.foxnews.com/video/6360989725112,74.6904296875,72,text/html
https://www.foxnews.com/politics/biden-dodges-answering-whether-hed-take-neurological-test-no-one-said-i-had-to.amp,163.2333984375,273,text/html
https://www.foxnews.com/video/6342816673112,71.0380859375,71,text/html
https://www.foxnews.com/video/topics/person/donald-trump,290.16796875,114,text/html
https://www.foxnews.com/politics/nc-gubernatorial-candidate-mark-robinson-hires-trump-friendly-lawyer-investigate-porn-website-allegations.amp,168.36328125,272,text/html
https://www.foxnews.com/politics/harvard-president-claudine-gay-remain-post.amp,180.3896484375,275,text/html
https://www.foxnews.com/media/the-view-knocks-clarence-thomas-high-tech-lynching-remark-race,220.30859375,324,text/html
https://www.foxnews.com/video/topics/shows/gutfeld,321.111328125,114,text/html
https://www.foxnews.com/media/hunter-biden-laptop-re-emerges-media-embarrassment-becomes-key-evidence-gun-trial,296.724609375,349,text/html
https://www.foxnews.com/category/politics/state-and-local,120.3896484375,351,text/html
https://www.foxnews.com/media/former-employee-suing-narcissistic-mayor-claims-she-locked-outoffice-denied-pay-fired,229.2763671875,327,text/html
https://www.foxnews.com/video/6350170702112,67.048828125,66,text/html
https://www.foxnews.com/video/6362726801112,69.634765625,74,text/html
https://www.foxnews.com/us/former-chicago-mayor-lori-lightfoot-hired-investigate-controversial-mayor-dolton-400-hour.amp,151.3232421875,269,text/html
https://www.foxnews.com/video/6352806160112,72.552734375,70,text/html
https://www.foxnews.com/politics/biden-campaign-launches-50m-paid-media-blitz-despite-mounting-pressure-president-drop-out,242.2392578125,338,text/html
https://www.foxnews.com/video/6352808179112,72.373046875,69,text/html
https://www.foxnews.com/video/6352810335112,72.80859375,68,text/html
https://www.foxnews.com/video/6355357090112,68.02734375,73,text/html
https://www.foxnews.com/video/6341258012112,66.158203125,66,text/html
https://www.foxnews.com/media/msnbc-contributor-trump-appeals-men-retro-macho-views-emhoff-embodies-supportive-men,225.4453125,328,text/html
https://www.foxnews.com/media/four-celebrities-have-rejected-conservative-fans-i-have-no-respect-you,247.2880859375,336,text/html
https://www.foxnews.com/video/topics/us/immigration/illegal-immigrants,334.6455078125,114,text/html
https://www.foxnews.com/media/california-bill-pushes-schools-less-homework-mitigate-student-mental-health-crisis,244.4443359375,337,text/html
https://www.foxnews.com/video/6341275878112,70.794921875,67,text/html
https://www.foxnews.com/video/6341276634112,70.4951171875,67,text/html
https://www.foxnews.com/video/6341278547112,70.7255859375,67,text/html
https://www.foxnews.com/media/billionaire-harvard-alum-accuses-university-discriminating-white-males-conservatives,236.685546875,328,text/html
https://www.foxnews.com/media/harvard-board-stands-embattled-president-claudine-gay-admits-inadequate-citation-writings.amp,175.7529296875,276,text/html
https://www.foxnews.com/us/world-war-ii-veteran-103-returns-pearl-harbor-82-years-japans-attack-honor-fallen-comrades,239.8662109375,332,text/html
https://www.foxnews.com/media/snl-mocking-stefanik-instead-college-presidents-complete-breakdown-comedy,250.7470703125,337,text/html
